epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1128.07,1.16532,0.56127,0.80082,0.89946,0.37271,0.62457,0.39494,1.50256,0.73341,0.81378,0.0013664,0.0013664,0.0013664
98,1138.8,1.19732,0.56863,0.80485,0.87287,0.36169,0.60113,0.36775,1.57206,0.80515,0.82368,0.0013598,0.0013598,0.0013598
99,1149.58,1.18072,0.56736,0.80134,0.90197,0.37375,0.62972,0.40372,1.51565,0.71939,0.81545,0.0013532,0.0013532,0.0013532
100,1159.81,1.15441,0.53561,0.79653,0.8891,0.36841,0.61693,0.37776,1.58328,0.76427,0.81738,0.0013466,0.0013466,0.0013466
101,1170.84,1.18051,0.55218,0.80275,0.88885,0.36831,0.61694,0.3923,1.51368,0.80283,0.81324,0.00134,0.00134,0.00134
102,1181.72,1.15601,0.54016,0.79997,0.87835,0.36396,0.60826,0.38284,1.57982,0.8531,0.8234,0.0013334,0.0013334,0.0013334
103,1191.72,1.15107,0.53468,0.79896,0.90029,0.37305,0.62565,0.39545,1.51084,0.74082,0.81435,0.0013268,0.0013268,0.0013268
104,1203.37,1.15279,0.5272,0.79643,0.90957,0.37689,0.6341,0.41153,1.48934,0.72808,0.81055,0.0013202,0.0013202,0.0013202
105,1213.83,1.14817,0.54026,0.79865,0.92638,0.38386,0.64794,0.4185,1.47944,0.72604,0.81004,0.0013136,0.0013136,0.0013136
106,1225.29,1.16402,0.54504,0.79957,0.87993,0.36461,0.6089,0.39148,1.50073,0.749,0.81268,0.001307,0.001307,0.001307
107,1235.42,1.1516,0.55046,0.79867,0.8929,0.36999,0.61539,0.38718,1.50652,0.71035,0.81096,0.0013004,0.0013004,0.0013004
108,1246.37,1.16239,0.54459,0.79595,0.89663,0.37153,0.62269,0.39937,1.51905,0.77663,0.8169,0.0012938,0.0012938,0.0012938
109,1256.48,1.17768,0.5495,0.79825,0.88559,0.36696,0.61368,0.37321,1.591,0.80643,0.82527,0.0012872,0.0012872,0.0012872
110,1265.75,1.19856,0.57771,0.80299,0.90272,0.37406,0.62556,0.39507,1.50752,0.7072,0.81255,0.0012806,0.0012806,0.0012806
111,1276.19,1.15098,0.55387,0.79962,0.91541,0.37931,0.63905,0.41403,1.49185,0.75947,0.81206,0.001274,0.001274,0.001274
112,1287.97,1.15295,0.53754,0.80025,0.90215,0.37382,0.62748,0.40606,1.51509,0.73892,0.81613,0.0012674,0.0012674,0.0012674
113,1298.6,1.16849,0.56048,0.80232,0.90452,0.3748,0.62761,0.40729,1.48373,0.71337,0.80887,0.0012608,0.0012608,0.0012608
114,1308.08,1.14343,0.5278,0.79638,0.90108,0.37337,0.63,0.4102,1.50181,0.7618,0.81493,0.0012542,0.0012542,0.0012542
115,1318.39,1.19977,0.55413,0.79835,0.91376,0.37863,0.64185,0.41676,1.49852,0.72407,0.81388,0.0012476,0.0012476,0.0012476
116,1329.89,1.14843,0.52589,0.79932,0.91179,0.37781,0.63621,0.40981,1.49011,0.76577,0.81375,0.001241,0.001241,0.001241
117,1340.77,1.15762,0.55048,0.79869,0.91932,0.38093,0.64529,0.40901,1.53035,0.74004,0.81813,0.0012344,0.0012344,0.0012344
118,1351.71,1.16111,0.54595,0.79762,0.90072,0.37323,0.62963,0.39139,1.56542,0.75021,0.82071,0.0012278,0.0012278,0.0012278
119,1361.35,1.15043,0.52923,0.79911,0.91989,0.38117,0.64464,0.41083,1.50371,0.75954,0.81509,0.0012212,0.0012212,0.0012212
120,1371.51,1.1223,0.51891,0.79608,0.91308,0.37835,0.63703,0.40439,1.4998,0.73634,0.81445,0.0012146,0.0012146,0.0012146
121,1383.11,1.15359,0.54145,0.7962,0.9186,0.38064,0.64335,0.41634,1.49986,0.71448,0.8116,0.001208,0.001208,0.001208
122,1395.58,1.15413,0.53272,0.7967,0.91358,0.37856,0.63583,0.41337,1.47527,0.70222,0.8079,0.0012014,0.0012014,0.0012014
123,1405.89,1.12563,0.5174,0.79907,0.89093,0.36917,0.61521,0.38902,1.49599,0.74966,0.81448,0.0011948,0.0011948,0.0011948
124,1417.55,1.13163,0.54656,0.79964,0.89996,0.37291,0.62934,0.40612,1.51481,0.75134,0.81401,0.0011882,0.0011882,0.0011882
125,1429.49,1.15124,0.54472,0.80057,0.91624,0.37966,0.64339,0.42168,1.48165,0.68564,0.80975,0.0011816,0.0011816,0.0011816
126,1441.5,1.1576,0.53691,0.79839,0.91086,0.37743,0.63836,0.41358,1.51579,0.7957,0.81499,0.001175,0.001175,0.001175
127,1453.51,1.11723,0.53271,0.80155,0.90989,0.37703,0.63496,0.41566,1.48163,0.73276,0.80754,0.0011684,0.0011684,0.0011684
128,1465.25,1.12365,0.52117,0.79839,0.90391,0.37455,0.62718,0.40597,1.48763,0.7839,0.81162,0.0011618,0.0011618,0.0011618
129,1478.08,1.14615,0.53104,0.79763,0.91645,0.37975,0.63651,0.41354,1.49801,0.69845,0.80908,0.0011552,0.0011552,0.0011552
130,1491.62,1.14796,0.5305,0.7982,0.9133,0.37844,0.63692,0.41908,1.4806,0.72405,0.81197,0.0011486,0.0011486,0.0011486
131,1503.03,1.1421,0.52364,0.79612,0.91781,0.38031,0.64375,0.43016,1.45467,0.69868,0.80703,0.001142,0.001142,0.001142
132,1514.77,1.12509,0.51478,0.79711,0.91294,0.37829,0.64119,0.42193,1.4831,0.74219,0.81107,0.0011354,0.0011354,0.0011354
133,1529.21,1.1322,0.53406,0.79904,0.91505,0.37917,0.6401,0.41133,1.49649,0.73109,0.81178,0.0011288,0.0011288,0.0011288
134,1542.4,1.11788,0.52022,0.79778,0.90932,0.37679,0.63263,0.40903,1.47883,0.69067,0.80854,0.0011222,0.0011222,0.0011222
135,1555.6,1.12897,0.51477,0.79531,0.91885,0.38074,0.64548,0.41564,1.48734,0.725,0.81167,0.0011156,0.0011156,0.0011156
136,1567.8,1.08493,0.49512,0.79792,0.91376,0.37863,0.64081,0.41534,1.49658,0.75905,0.81398,0.001109,0.001109,0.001109
