epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,925.68,1.0016,0.48084,0.79059,0.89281,0.5667,0.70662,0.53488,0.92249,0.49976,0.78716,0.0015644,0.0015644,0.0015644
68,940.026,0.96282,0.46105,0.79044,0.89502,0.56657,0.72258,0.55181,0.92054,0.49033,0.78807,0.0015578,0.0015578,0.0015578
69,954.939,1.03632,0.49536,0.79315,0.89336,0.56875,0.72078,0.55339,0.90878,0.51141,0.78559,0.0015512,0.0015512,0.0015512
70,967.641,0.99659,0.48316,0.79128,0.8903,0.56552,0.7281,0.56017,0.91955,0.49836,0.78627,0.0015446,0.0015446,0.0015446
71,979.867,0.99172,0.49079,0.79272,0.89102,0.56637,0.73303,0.5596,0.93624,0.49257,0.78711,0.001538,0.001538,0.001538
72,993.436,0.99318,0.47893,0.79348,0.89125,0.56835,0.7319,0.56703,0.89326,0.46619,0.78631,0.0015314,0.0015314,0.0015314
73,1005.18,0.99451,0.47555,0.79128,0.89189,0.56391,0.72207,0.55087,0.90408,0.47735,0.78626,0.0015248,0.0015248,0.0015248
74,1017.27,0.99439,0.46833,0.79281,0.89122,0.56513,0.70794,0.54376,0.89689,0.52395,0.78652,0.0015182,0.0015182,0.0015182
75,1031.74,0.9467,0.45149,0.79233,0.89291,0.56657,0.7282,0.56045,0.89753,0.47677,0.7858,0.0015116,0.0015116,0.0015116
76,1044.47,0.97366,0.45888,0.79294,0.88615,0.56459,0.72726,0.55285,0.92608,0.49543,0.78674,0.001505,0.001505,0.001505
77,1057.08,0.98635,0.46657,0.79056,0.8913,0.56654,0.72808,0.55749,0.9063,0.47798,0.7857,0.0014984,0.0014984,0.0014984
78,1069.6,0.96536,0.46306,0.79128,0.89575,0.56901,0.72896,0.54939,0.95008,0.49823,0.78572,0.0014918,0.0014918,0.0014918
79,1080.73,0.93637,0.44901,0.79038,0.8898,0.56806,0.728,0.56275,0.88718,0.49337,0.78468,0.0014852,0.0014852,0.0014852
80,1093.65,0.94221,0.4564,0.7906,0.88915,0.56542,0.72353,0.55858,0.88484,0.47015,0.78499,0.0014786,0.0014786,0.0014786
81,1104.92,0.95499,0.46385,0.79261,0.88904,0.56733,0.72686,0.55542,0.90223,0.48722,0.78517,0.001472,0.001472,0.001472
82,1118.83,1.02217,0.48695,0.79278,0.89421,0.568,0.73139,0.56249,0.8896,0.48034,0.7847,0.0014654,0.0014654,0.0014654
83,1132.47,0.96136,0.46619,0.79092,0.89366,0.5664,0.72781,0.55813,0.89623,0.47705,0.78662,0.0014588,0.0014588,0.0014588
84,1146.41,0.99887,0.46446,0.79062,0.89396,0.56687,0.73234,0.56121,0.91788,0.51043,0.78459,0.0014522,0.0014522,0.0014522
85,1159.52,0.98199,0.47566,0.7917,0.88791,0.56393,0.72061,0.54367,0.95594,0.52084,0.78636,0.0014456,0.0014456,0.0014456
86,1171.31,0.99073,0.47038,0.79117,0.88505,0.56456,0.729,0.56184,0.89326,0.49824,0.78511,0.001439,0.001439,0.001439
