iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
390,2025-10-13 08:25:33,1571,130,27,22,19,21,26,15
391,2025-10-13 08:27:16,1301,127,30,19,29,16,12,21
392,2025-10-13 08:29:06,1305,124,28,12,28,17,14,25
393,2025-10-13 08:30:34,1522,128,31,32,23,0,19,23
394,2025-10-13 08:31:56,1571,136,39,19,16,13,26,23
395,2025-10-13 08:33:32,1416,135,38,23,11,17,43,3
396,2025-10-13 08:35:03,1503,122,32,22,11,24,29,4
397,2025-10-13 08:36:24,1571,143,41,18,16,14,34,20
398,2025-10-13 08:37:59,1426,128,29,19,27,4,32,17
399,2025-10-13 08:39:44,1279,143,36,21,23,26,25,12
400,2025-10-13 08:41:09,1569,134,28,16,38,3,38,11
401,2025-10-13 08:42:45,1364,130,29,22,17,31,25,6
402,2025-10-13 08:44:18,1571,129,34,16,20,10,17,32
403,2025-10-13 08:45:54,1571,133,32,32,26,12,21,10
404,2025-10-13 08:47:11,1571,137,44,26,11,4,23,29
405,2025-10-13 08:48:31,1571,143,28,17,34,23,21,20
406,2025-10-13 08:49:54,1571,145,20,19,29,9,55,13
407,2025-10-13 08:51:27,1379,133,43,25,23,14,17,11
408,2025-10-13 08:53:36,1373,147,29,21,35,14,26,22
409,2025-10-13 08:55:07,1571,136,28,17,29,18,24,20
410,2025-10-13 08:56:43,1571,131,35,16,32,27,11,10
411,2025-10-13 08:58:06,1513,139,27,24,30,8,22,28
412,2025-10-13 08:59:23,1571,138,23,19,34,28,14,20
413,2025-10-13 09:00:49,1571,126,26,25,14,22,21,18
414,2025-10-13 09:02:22,1403,124,23,33,8,13,28,19
415,2025-10-13 09:04:04,1439,131,30,21,28,20,23,9
416,2025-10-13 09:05:27,1571,127,20,6,37,23,21,20
417,2025-10-13 09:07:05,1513,139,29,25,28,4,18,35
418,2025-10-13 09:08:26,1571,141,30,13,29,19,22,28
419,2025-10-13 09:10:05,1571,138,40,9,37,11,13,28
420,2025-10-13 09:11:41,1571,132,21,26,28,13,24,20
421,2025-10-13 09:13:06,1571,140,36,19,18,24,29,14
